Unnamed: 0,Model,Price,Generation,Core,Ram,SSD,Display,Graphics,CPU_Score,RAM_Score,GPU_Score,Storage_Score,Performance_Score,Hidden_Gem_Ratio
37,ASUS ROG FLOW X13 GV301RC-LJ132WS GAMING LAPTOP (AMD RYZEN 9 6900HS/ 16GB/ 512GB SSD/ WIN11 HOME/ 4GB GRAPH),84990.0,6th Gen AMD Ryzen 9 6900HS​,"Octa Core, 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,"13.4 inches, 1920 x 1200 pixels, Touch Screen",4 GB ‎NVIDIA GeForce RTX 3050,6.0,3.2,1.44,0.1,10.74,0.1264
38,SAMSUNG GALAXY BOOK 4 PRO 360 LAPTOP (INTEL CORE ULTRA 7/ 16GB/ 512GB SSD/ WIN11),199990.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB LPDDR5X RAM,512 GB SSD,"16 inches, 2880 x 1800 pixels, Touch Screen",Intel Arc Graphics,2.0,3.2,1.2,0.1,6.5,0.0325
39,LENOVO THINKBOOK 15 G5 21JF002JIN LAPTOP (AMD RYZEN 3 7330U/ 8 GB/ 512 GB SSD/ WIN11),33600.0,7th Gen AMD Ryzen 3 7330U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon AMD,6.8,1.6,1.2,0.1,9.7,0.2887
40,ZEBRONICS PRO SERIES Z ZEB-NBC 3S 2023 LAPTOP (12TH GEN CORE I3 / 8GB/ 512GB SSD/ WIN11 HOME),27990.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated,2.0,1.6,1.2,0.1,4.9,0.1751
41,ASUS TUF GAMING F15 FX506HE-HN385WS GAMING LAPTOP (11TH GEN CORE I7/ 16GB/ 1TB SSD/ WIN11/ 4GB GRAPH),79899.0,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050 Ti,2.0,3.2,1.44,0.1,6.74,0.0844
42,ACER NITRO V ANV15-51 2023 GAMING LAPTOP (13TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11/ 6GB GRAPH),77990.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR5 SDRAM RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,2.0,3.2,1.8,0.1,7.1,0.091
43,LENOVO LOQ 15IRH8 82XV00F4IN 2023 GAMING LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11/ 4GB GRAPH),59990.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,2.0,3.2,1.2,0.1,6.5,0.1084
44,ASUS VIVOBOOK 16X 2023 K3605ZU-MB741WS LAPTOP (12TH GEN CORE I7/ 16GB/ 512GB SSD/ WIN11 HOME/ 6GB GRAPH),86990.0,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",6 GB NVIDIA Geforce RTX 4050,2.0,3.2,1.8,0.1,7.1,0.0816
45,HP 255 G9 840T7PA LAPTOP (AMD ATHLON SILVER-3050U/ 4GB/ 256GB SSD/ DOS),19979.0,3rd Gen AMD Athlon 3050U,"Dual Core, 2 Threads",4 GB DDR4 RAM,256 GB SSD,"15.6 inches, 1366 x 768 pixels",AMD Integrated,3.6,0.8,1.2,0.1,5.7,0.2853
46,ASUS TUF GAMING F15 2023 FX507ZV-LP094W GAMING LAPTOP (12TH GEN CORE I7/ 16GB/512GB SSD/ WIN11 HOME/ 8GB GRAPH),99990.0,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",8 GB NVIDIA GeForce RTX 4060,2.0,3.2,2.4,0.1,7.7,0.077
47,HP OMEN 16-N0123AX GAMING LAPTOP (AMD RYZEN 7 6800H/ 16GB/ 1TB SSD/ WIN11/ 8GB GRAPH),112990.0,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,"16.1 inches, 2560 x 1440 pixels",8 GB NVIDIA GeForce RTX 3070 Ti ,6.0,3.2,2.4,0.1,11.7,0.1035
48,DELL INSPIRON 5420 LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11),69999.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated UHD,2.0,3.2,1.2,0.1,6.5,0.0929
49,ASUS TUF GAMING F15 FX506HC-HN362WS GAMING LAPTOP (11TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11/ 4GB GRAPH),59990.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,2.0,3.2,1.44,0.1,6.74,0.1124
50,SAMSUNG GALAXY BOOK2 PRO 360 13 LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11),72990.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,"13.3 inches, 1080 x 1920 pixels, Touch Screen",Intel Iris Xe Graphics,2.0,3.2,1.2,0.1,6.5,0.0891
51,SAMSUNG GALAXY BOOK 4 NP750XGK-KS1IN LAPTOP (INTEL CORE 5 PROCESSOR 120U/ 8GB/ 512GB SSD/ WIN11),70990.0,Intel Core 5 Processor Series 1 120U,"10 Cores (2P + 8E), 12 Threads",8 GB LPDDR4x RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Graphics,1.2,1.6,1.2,0.1,4.1,0.0578
52,ASUS VIVOBOOK 15 2024 X1504VAP-NJ542WS LAPTOP (INTEL CORE 5 PROCESSOR 120U/ 16GB/ 512GB SSD/ WIN11),67990.0,Intel Core 5 Processor Series 1 120U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Integrated Intel Graphics,1.2,3.2,1.2,0.1,5.7,0.0838
53,HP PAVILION 15-EH3109AU LAPTOP (AMD RYZEN 7 7730U/ 16GB/ 1TB SSD/ WIN11 HOME),69990.0,7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Vega 8 Graphics,6.8,3.2,1.2,0.1,11.3,0.1615
54,LENOVO IDEAPAD SLIM 5 ‎16IMH9 83DC0042IN LAPTOP (INTEL CORE ULTRA 5/ 16 GB RAM/ 1TB SSD/ WIN 11),75990.0,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB LPDDR5 RAM,1 TB SSD,"16 inches, 1920 x 1200 pixels",Intel Arc Graphics,2.0,3.2,1.2,0.1,6.5,0.0855
