Unnamed: 0,Model,Price,Generation,Core,Ram,SSD,Display,Graphics,OS
49,Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,990",11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS
50,Samsung Galaxy Book2 Pro 360 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹72,990",12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,"13.3 inches, 1080 x 1920 pixels, Touch Screen",Intel Iris Xe Graphics,Windows 11 OS
51,Samsung Galaxy Book 4 NP750XGK-KS1IN Laptop (Intel Core 5 Processor 120U/ 8GB/ 512GB SSD/ Win11),"₹70,990",Intel Core 5 Processor Series 1 120U,"10 Cores (2P + 8E), 12 Threads",8 GB LPDDR4x RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Graphics,Windows 11 OS
52,Asus Vivobook 15 2024 X1504VAP-NJ542WS Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),"₹67,990",Intel Core 5 Processor Series 1 120U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Integrated Intel Graphics,Windows 11 OS
53,HP Pavilion 15-eh3109AU Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11 Home),"₹69,990",7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Vega 8 Graphics,Windows 11 OS
54,Lenovo IdeaPad Slim 5 ‎16IMH9 83DC0042IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),"₹75,990",Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB LPDDR5 RAM,1 TB SSD,"16 inches, 1920 x 1200 pixels",Intel Arc Graphics,Windows 11 OS
55,HP Envy x360 14-fa0052AU Laptop (AMD Ryzen 7 8840HS/ 16GB/ 512GB SSD/ Win11),"₹96,990",8th Gen AMD Ryzen 7 8840HS,"Octa Core, 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",AMD Radeon Graphics,Windows 11 OS
56,Asus ROG Strix SCAR 16 2024 G634JYR-RA001WS Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ 16GB Graph),"₹3,29,990",14th Gen Intel Core i9 14900HX,"24 Cores (8P + 16E), 32 Threads",32 GB DDR5 RAM,2 TB SSD,"16 inches, 2560 x 1600 pixels",16 GB NVIDIA GeForce RTX 4090,Windows 11 OS
57,Lenovo ThinkBook 15 G5 20VG0008UK Laptop (AMD Ryzen 7 7730U/ 16GB/ 512 GB SSD/ Win11),"₹49,990",7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon AMD,Windows 11 OS
58,HP Spectre x360 14-ef2035TU Laptop (13th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home),"₹1,46,990",13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",32 GB LPDDR4X RAM,1 TB SSD,"13.5 inches, 3000 x 2000 pixels, Touch Screen",Intel Iris Xe Graphics,Windows 11 OS
59,HP Omen 14-fb0007TX Gaming Laptop (Intel Core Ultra 7 155H/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,74,999",Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB LPDDR5x RAM,1 TB SSD,"14 inches, 2880 x 1800 pixels",8 GB NVIDIA GeForce RTX 4060,Windows 11 OS
60,Lenovo IdeaPad Slim 3 83EQ0044IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹55,390",12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated UHD Graphics,Windows 11 OS
61,Honor MagicBook X16 2024 ‎Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹46,990",12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,"16 inches, 1920 x 1200 pixels",Intel UHD Graphics,Windows 11 OS
62,HP Omen 16-xf0081AX Gaming Laptop (AMD Ryzen 7 7840HS/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,35,999",7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",32 GB DDR5 RAM,1 TB SSD,"16 inches, 1440 x 2560 pixels",8 GB NVIDIA GeForce RTX 4060,Windows 11 OS
63,Acer Aspire Lite 15 AL15-52 Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),"₹34,880",12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS
64,HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),"₹1,38,990",14th Gen Intel Core i7 14700HX,"20 Cores (8P + 12E), 28 Threads",16 GB DDR5 RAM,1 TB SSD,"16.1 inches, 1920 x 1080 pixels",8 GB NVIDIA GeForce RTX 4060,Windows 11 OS
65,MSI Titan 18 HX Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ RTX 4090),"₹5,99,990",14th Gen Intel Core i9 14900HX,32 GB DDR5 RAM,2 TB SSD,16 GB NVIDIA GeForce RTX 4090,Windows 11 OS,"18 inches, 3840 x 2400 pixels",2 Year Warranty
66,Lenovo IdeaPad Slim 3 83ER008GIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹53,490",12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD Graphics,Windows 11 OS
67,Samsung Galaxy Book 4 Ultra Laptop (Intel Core Ultra 7 155H/ 32 GB RAM/ 1 TB SSD/ 6 GB Graphics),"₹2,99,999",Intel Core Ultra 7 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",32 GB LPDDR5X RAM,1 TB SSD,"16 inches, 2880 x 1800 pixels, Touch Screen",6 GB NVIDIA GeForce RTX 4050,Backlit Keyboard
68,HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹65,690",12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS
69,Colorful Evol P15 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹89,999",12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,"15.6 inches, 2560 x 1440 pixels",8 GB NVIDIA GeForce RTX 4060,Windows 11 OS
70,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),"₹3,99,900",Apple M3 Max,16 Cores (12P + 4E),48 GB  RAM,1 TB SSD,"16.2 inches, 3456 x 2234 pixels",40 Core GPU,Mac OS
71,Dell Inspiron 3530 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹69,990",13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS
72,Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹39,990",12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS
73,HP Pavilion 15-eg3032TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹84,700",13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,Windows 11 OS
74,Dell G15-5530 15 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹99,990",13th Gen Intel Core i7 13650HX,14 Cores (6P + 8E),16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 4050,Windows 11 OS
75,HP 15s-fq5185TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹36,349",12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD,Windows 11 OS
76,Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),"₹27,990",11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16 GB LPDDR4X RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated UHD,Windows 11 OS
77,Zebronics ZEB-NBC 5S 2023 Laptop (12th Gen Core i7 / 16GB/ 1TB SSD/ Win11 Home),"₹43,990",12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated,Windows 11 OS
78,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),"₹44,990",7th Gen AMD Ryzen 7 7730U,"Octa Core, 16 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon AMD,Windows 11 OS
79,Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹34,990",12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",‎Intel UHD Graphics,Windows 11 OS
80,HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹79,990",7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,"16.1 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 3050,Windows 11 OS
81,Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹53,990",12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS
82,Asus TUF Gaming F15 FX506HE-HN382W Gaming Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹69,990",11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS
83,Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹48,990",11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,Windows 11 OS
